chemical_composition,casting_temp,cooling_water_temp,casting_speed,entry_temp,emulsion_temp,emulsion_pressure,emulsion_concentration,rod_quench_pressure,UTS,elongation,conductivity,rod_quality
0.9599697936,657.6200987605,48.6868401493,2.1825991134,433.498539606,79.6204191495,0.7851943588,6.5744836078,2.8796566307,130.640476793,11.1868164558,47.2288503242,-1.0
0.9765675423,743.9411338438,44.0201295282,1.6058231802,491.9247669216,38.180188767,0.8200932767,6.0889917452,5.8715594836,136.9394317743,10.201865251,44.6976648135,-1.0
1.0094699023,689.7373525178,43.9895394426,1.8445773548,417.246690912,43.5851430362,1.7176575997,6.8929358796,3.9474434899,132.6591504039,10.9903353266,46.9770401793,1.0
0.9441238449,701.6216037555,41.587483772,1.1813677551,422.8696825597,66.4914027176,1.8271710798,5.0386634453,2.9084416472,134.4672031083,10.7254374053,46.5094353509,1.0
1.0111689967,697.5383462345,33.6125154971,1.3125428966,481.3794069937,53.3123418215,1.4182831047,8.8291196506,5.1466792539,132.8548127337,9.665158121,45.7875968618,-1.0
1.0680238486,677.103264019,30.8345335776,1.6466266614,406.0316215057,22.584551453,1.1072625118,3.8537385817,5.2201338259,132.6619088088,10.7002076556,46.8114416958,1.0
0.9903911522,738.1313911146,56.0244940635,1.2055469937,441.2861249875,38.238191115,0.5149754458,6.4210879277,4.3108721014,135.481065866,10.5562962547,45.1537671019,1.0
1.0668776001,669.0815987618,42.056346447,2.3843569732,458.7878470765,27.3228912184,0.5132124585,6.9013630868,4.9399068156,132.684438886,11.1213242787,46.0846087866,1.0
0.9722967975,718.5582917551,46.8618293785,2.646371032,471.4793068622,74.5916923669,1.6445311697,8.4183199284,3.9209186513,133.7125143293,11.1794891015,45.7444895702,1.0
0.9230101551,749.8965646012,25.568789446,1.3339656873,475.3966316692,43.3473389605,1.2879444534,6.4671042239,5.8699248381,138.9891383247,11.8995035457,45.0121231108,-1.0
1.0412945963,733.7079468202,23.8703625285,2.3272961573,475.0212729412,74.1909078385,1.7883433318,8.5620664099,5.8774515831,138.2443340169,11.1021591377,45.0528404228,-1.0
0.9554594907,685.1897205793,28.6160829343,2.8817981267,440.583538066,79.1676583334,1.4792818821,6.1032324903,4.7179997975,133.5766798898,10.2055079259,46.014452898,1.0
0.9491493983,678.6347946415,47.2712547264,2.6501293674,446.1157490149,32.3534297925,1.8782536884,8.8428141377,2.7448690121,132.7285583614,9.8358978838,45.7958079051,-1.0
1.0717843981,676.0401715312,30.7465491346,1.923683365,445.4731383694,55.313863769,1.6594347001,5.1001098711,2.5399660442,131.3595423768,9.7223297966,46.2301470922,-1.0
1.0989420482,672.808603989,24.7818780942,2.5162932517,490.1809920191,67.1148227077,0.714446121,3.0807457786,3.6748018485,133.1349954454,9.8906374077,46.4634846812,-1.0
1.060869176,674.8298120065,40.8241037017,1.1614943292,422.0882504745,24.8000817783,1.0034195761,6.5385358624,5.5312902673,132.645560908,10.9383796227,46.7644656129,1.0
1.000599806,697.8279484399,38.2931604464,1.4600667853,493.6026219875,35.6251754004,1.925820862,8.7973265844,3.9062013628,134.8816723711,10.7396169377,46.2424506027,1.0
1.025335336,694.6341538501,55.5369766593,2.7670728406,415.7474650923,59.6541480527,1.2573628008,3.500586214,3.1855069235,134.8033065552,10.5305441913,46.3159952147,1.0
1.0851570269,701.4538021015,34.0046407213,1.8750877911,438.0116811594,56.667180767,0.8942673324,8.8338209587,3.9031628091,134.0147541525,10.2923664208,46.7759966835,1.0
